timestamp,visitorid,event,itemid,transactionid
1433221332117,257597,view,355908,
1433224214164,992329,view,248676,
1433221999827,111016,view,318965,
1433221955914,483717,view,253185,
1433221337106,951259,view,367447,
1433224086234,972639,view,22556,
1433221923240,810725,view,443030,
1433223291897,794181,view,439202,
1433220899221,824915,view,428805,
1433221204592,339335,view,82389,
1433222162373,176446,view,10572,
1433221701252,929206,view,410676,
1433224229496,15795,view,44872,
1433223697356,598426,view,156489,
1433224078165,223343,view,402625,
1433222531378,57036,view,334662,
1433223239808,1377281,view,251467,
1433223236124,287857,addtocart,5206,
1433224244282,1370216,view,176721,
1433221078505,158090,addtocart,10572,
1433224070841,1398644,view,135256,
1433224252461,653756,view,132316,
1433221274809,1213673,view,343861